recv_time,book_timestamp,n_bids,n_asks,mid,spread,bid_px_0,bid_vol_0,bid_px_1,bid_vol_1,bid_px_2,bid_vol_2,bid_px_3,bid_vol_3,bid_px_4,bid_vol_4,bid_px_5,bid_vol_5,bid_px_6,bid_vol_6,bid_px_7,bid_vol_7,bid_px_8,bid_vol_8,bid_px_9,bid_vol_9,ask_px_0,ask_vol_0,ask_px_1,ask_vol_1,ask_px_2,ask_vol_2,ask_px_3,ask_vol_3,ask_px_4,ask_vol_4,ask_px_5,ask_vol_5,ask_px_6,ask_vol_6,ask_px_7,ask_vol_7,ask_px_8,ask_vol_8,ask_px_9,ask_vol_9
2026-06-29T08:00:00.087351+00:00,2026-06-29T18:00:00.083351,3,4,118.35,0.1,118.3,201,118.2,625,118.1,1,,,,,,,,,,,,,,,118.4,625,118.5,200,118.7,2,118.9,1,,,,,,,,,,,,
2026-06-29T08:00:00.098351+00:00,2026-06-29T18:00:00.097351,3,5,118.35,0.1,118.3,201,118.2,625,118.1,501,,,,,,,,,,,,,,,118.4,625,118.5,200,118.7,2,118.8,500,118.9,1,,,,,,,,,,
2026-06-29T08:00:00.120351+00:00,2026-06-29T18:00:00.118351,3,4,118.35,0.1,118.3,1,118.2,625,118.1,500,,,,,,,,,,,,,,,118.4,605,118.5,200,118.7,2,118.8,500,,,,,,,,,,,,
2026-06-29T08:00:00.131352+00:00,2026-06-29T18:00:00.130351,3,3,118.35,0.1,118.3,1,118.2,825,118.1,500,,,,,,,,,,,,,,,118.4,605,118.7,2,118.8,500,,,,,,,,,,,,,,
2026-06-29T08:00:00.142351+00:00,2026-06-29T18:00:00.141351,3,3,118.5,0.4,118.3,1,118.2,200,118.1,500,,,,,,,,,,,,,,,118.7,2,118.8,500,118.9,1,,,,,,,,,,,,,,
2026-06-29T08:00:00.153351+00:00,2026-06-29T18:00:00.151351,3,4,118.35,0.1,118.3,1,118.2,825,118.1,501,,,,,,,,,,,,,,,118.4,825,118.7,2,118.8,500,118.9,1,,,,,,,,,,,,
2026-06-29T08:00:00.736351+00:00,2026-06-29T18:00:00.733352,3,3,118.35,0.1,118.3,1,118.2,825,118.1,1,,,,,,,,,,,,,,,118.4,825,118.7,2,118.9,1,,,,,,,,,,,,,,
2026-06-29T08:00:00.747351+00:00,2026-06-29T18:00:00.742351,4,3,118.35,0.1,118.3,1,118.2,825,118.1,1,118.0,500,,,,,,,,,,,,,118.4,825,118.7,502,118.9,1,,,,,,,,,,,,,,
2026-06-29T08:00:01.319351+00:00,2026-06-29T18:00:01.311351,3,3,118.35,0.1,118.3,1,118.2,825,118.1,1,,,,,,,,,,,,,,,118.4,825,118.7,502,118.9,1,,,,,,,,,,,,,,
2026-06-29T08:00:01.330351+00:00,2026-06-29T18:00:01.326352,4,3,118.35,0.1,118.3,1,118.2,825,118.1,1,118.0,500,,,,,,,,,,,,,118.4,825,118.7,2,118.9,1,,,,,,,,,,,,,,
2026-06-29T08:00:01.341352+00:00,2026-06-29T18:00:01.339351,4,3,118.35,0.1,118.3,1,118.2,825,118.1,1,118.0,500,,,,,,,,,,,,,118.4,825,118.7,502,118.9,1,,,,,,,,,,,,,,
2026-06-29T08:00:01.396351+00:00,2026-06-29T18:00:01.395351,4,3,118.35,0.1,118.3,1,118.2,825,118.1,1,118.0,500,,,,,,,,,,,,,118.4,825,118.7,502,118.9,1,,,,,,,,,,,,,,
2026-06-29T08:00:01.517351+00:00,2026-06-29T18:00:01.515351,5,3,118.5,0.2,118.4,425,118.3,1,118.2,200,118.1,1,118.0,500,,,,,,,,,,,118.6,625,118.7,502,118.9,1,,,,,,,,,,,,,,
2026-06-29T08:00:01.891351+00:00,2026-06-29T18:00:01.885352,4,3,118.5,0.2,118.4,425,118.3,1,118.2,200,118.1,1,,,,,,,,,,,,,118.6,625,118.7,502,118.9,1,,,,,,,,,,,,,,
2026-06-29T08:00:01.902351+00:00,2026-06-29T18:00:01.900351,4,3,118.5,0.2,118.4,425,118.3,1,118.2,200,118.1,501,,,,,,,,,,,,,118.6,625,118.7,2,118.9,1,,,,,,,,,,,,,,
2026-06-29T08:00:01.913351+00:00,2026-06-29T18:00:01.907351,4,4,118.5,0.2,118.4,425,118.3,1,118.2,200,118.1,501,,,,,,,,,,,,,118.6,625,118.7,2,118.8,500,118.9,1,,,,,,,,,,,,
2026-06-29T08:00:02.496351+00:00,2026-06-29T18:00:02.494352,4,3,118.5,0.2,118.4,425,118.3,1,118.2,200,118.1,1,,,,,,,,,,,,,118.6,625,118.7,2,118.9,1,,,,,,,,,,,,,,
2026-06-29T08:00:02.507352+00:00,2026-06-29T18:00:02.506352,4,4,118.5,0.2,118.4,425,118.3,1,118.2,200,118.1,501,,,,,,,,,,,,,118.6,625,118.7,2,118.8,500,118.9,1,,,,,,,,,,,,
2026-06-29T08:00:02.562351+00:00,2026-06-29T18:00:02.561351,3,4,118.5,0.2,118.4,425,118.3,1,118.1,501,,,,,,,,,,,,,,,118.6,625,118.7,2,118.8,500,118.9,1,,,,,,,,,,,,
2026-06-29T08:00:02.573351+00:00,2026-06-29T18:00:02.564351,3,5,118.45,0.1,118.4,425,118.3,201,118.1,501,,,,,,,,,,,,,,,118.5,200,118.6,625,118.7,2,118.8,500,118.9,1,,,,,,,,,,
2026-06-29T08:00:02.716351+00:00,2026-06-29T18:00:02.714351,3,5,118.45,0.1,118.4,425,118.3,201,118.1,501,,,,,,,,,,,,,,,118.5,200,118.6,625,118.7,1,118.8,500,118.9,1,,,,,,,,,,
2026-06-29T08:00:02.727351+00:00,2026-06-29T18:00:02.726360,3,5,118.45,0.1,118.4,425,118.3,201,118.1,501,,,,,,,,,,,,,,,118.5,150,118.6,625,118.7,1,118.8,500,118.9,1,,,,,,,,,,
2026-06-29T08:00:02.771351+00:00,2026-06-29T18:00:02.770351,2,4,118.4,0.2,118.3,826,118.1,501,,,,,,,,,,,,,,,,,118.5,150,118.7,1,118.8,500,118.9,1,,,,,,,,,,,,
2026-06-29T08:00:02.782351+00:00,2026-06-29T18:00:02.773351,2,4,118.4,0.2,118.3,826,118.1,501,,,,,,,,,,,,,,,,,118.5,775,118.7,1,118.8,500,118.9,1,,,,,,,,,,,,
2026-06-29T08:00:03.123351+00:00,2026-06-29T18:00:03.117351,2,4,118.4,0.2,118.3,826,118.1,1,,,,,,,,,,,,,,,,,118.5,775,118.7,1,118.8,500,118.9,1,,,,,,,,,,,,
2026-06-29T08:00:03.156351+00:00,2026-06-29T18:00:03.148351,2,3,118.4,0.2,118.3,826,118.1,1,,,,,,,,,,,,,,,,,118.5,775,118.7,1,118.9,1,,,,,,,,,,,,,,
2026-06-29T08:00:03.167351+00:00,2026-06-29T18:00:03.163351,3,3,118.4,0.2,118.3,826,118.2,500,118.1,1,,,,,,,,,,,,,,,118.5,775,118.7,1,118.9,1,,,,,,,,,,,,,,
2026-06-29T08:00:03.178351+00:00,2026-06-29T18:00:03.171351,3,3,118.4,0.2,118.3,826,118.2,500,118.1,1,,,,,,,,,,,,,,,118.5,775,118.7,1,118.9,501,,,,,,,,,,,,,,
2026-06-29T08:00:03.189351+00:00,2026-06-29T18:00:03.183351,3,2,118.4,0.2,118.3,826,118.2,500,118.1,1,,,,,,,,,,,,,,,118.5,775,118.9,501,,,,,,,,,,,,,,,,
2026-06-29T08:00:03.200351+00:00,2026-06-29T18:00:03.194351,2,2,118.4,0.2,118.3,826,118.2,500,,,,,,,,,,,,,,,,,118.5,775,118.9,500,,,,,,,,,,,,,,,,
2026-06-29T08:00:03.255350+00:00,2026-06-29T18:00:03.245351,3,2,118.4,0.2,118.3,826,118.2,500,118.1,1,,,,,,,,,,,,,,,118.5,775,118.9,501,,,,,,,,,,,,,,,,
2026-06-29T08:00:03.695351+00:00,2026-06-29T18:00:03.694351,2,2,118.4,0.2,118.3,826,118.1,1,,,,,,,,,,,,,,,,,118.5,775,118.9,501,,,,,,,,,,,,,,,,
2026-06-29T08:00:03.706351+00:00,2026-06-29T18:00:03.700351,2,2,118.4,0.2,118.3,826,118.1,1,,,,,,,,,,,,,,,,,118.5,775,118.9,1,,,,,,,,,,,,,,,,
2026-06-29T08:00:03.717352+00:00,2026-06-29T18:00:03.712351,3,2,118.4,0.2,118.3,826,118.2,500,118.1,1,,,,,,,,,,,,,,,118.5,775,118.9,501,,,,,,,,,,,,,,,,
2026-06-29T08:00:03.772362+00:00,2026-06-29T18:00:03.770362,3,2,118.4,0.2,118.3,626,118.2,500,118.1,1,,,,,,,,,,,,,,,118.5,625,118.9,501,,,,,,,,,,,,,,,,
2026-06-29T08:00:03.782975+00:00,2026-06-29T18:00:03.774462,4,3,118.45,0.1,118.4,200,118.3,626,118.2,500,118.1,1,,,,,,,,,,,,,118.5,625,118.6,200,118.9,501,,,,,,,,,,,,,,
2026-06-29T08:00:04.079984+00:00,2026-06-29T18:00:04.076984,4,2,118.5,0.2,118.4,200,118.3,1,118.2,500,118.1,1,,,,,,,,,,,,,118.6,200,118.9,501,,,,,,,,,,,,,,,,
2026-06-29T08:00:04.090984+00:00,2026-06-29T18:00:04.081984,4,2,118.5,0.2,118.4,825,118.3,1,118.2,500,118.1,1,,,,,,,,,,,,,118.6,825,118.9,501,,,,,,,,,,,,,,,,
2026-06-29T08:00:04.332984+00:00,2026-06-29T18:00:04.328985,3,2,118.5,0.2,118.4,825,118.3,1,118.1,1,,,,,,,,,,,,,,,118.6,825,118.9,1,,,,,,,,,,,,,,,,
2026-06-29T08:00:04.343985+00:00,2026-06-29T18:00:04.340985,4,2,118.5,0.2,118.4,825,118.3,1,118.2,500,118.1,1,,,,,,,,,,,,,118.6,825,118.9,501,,,,,,,,,,,,,,,,
2026-06-29T08:00:04.926976+00:00,2026-06-29T18:00:04.925975,3,2,118.5,0.2,118.4,825,118.3,1,118.1,1,,,,,,,,,,,,,,,118.6,825,118.9,501,,,,,,,,,,,,,,,,
2026-06-29T08:00:04.937975+00:00,2026-06-29T18:00:04.936976,3,2,118.5,0.2,118.4,825,118.3,501,118.1,1,,,,,,,,,,,,,,,118.6,825,118.9,1,,,,,,,,,,,,,,,,
2026-06-29T08:00:04.948975+00:00,2026-06-29T18:00:04.942976,3,3,118.5,0.2,118.4,825,118.3,501,118.1,1,,,,,,,,,,,,,,,118.6,825,118.9,1,119.0,500,,,,,,,,,,,,,,
2026-06-29T08:00:04.981975+00:00,2026-06-29T18:00:04.978976,3,3,118.5,0.2,118.4,825,118.3,501,118.1,1,,,,,,,,,,,,,,,118.6,625,118.9,1,119.0,500,,,,,,,,,,,,,,
2026-06-29T08:00:04.992975+00:00,2026-06-29T18:00:04.982976,3,3,118.5,0.2,118.4,825,118.3,501,118.1,1,,,,,,,,,,,,,,,118.6,825,118.9,1,119.0,500,,,,,,,,,,,,,,
2026-06-29T08:00:05.399975+00:00,2026-06-29T18:00:05.393979,3,3,118.5,0.2,118.4,200,118.3,1126,118.1,1,,,,,,,,,,,,,,,118.6,825,118.9,1,119.0,500,,,,,,,,,,,,,,
2026-06-29T08:00:05.454975+00:00,2026-06-29T18:00:05.450976,3,3,118.5,0.2,118.4,180,118.3,1126,118.1,1,,,,,,,,,,,,,,,118.6,825,118.9,1,119.0,500,,,,,,,,,,,,,,
2026-06-29T08:00:05.531975+00:00,2026-06-29T18:00:05.529975,3,3,118.5,0.2,118.4,180,118.3,626,118.1,1,,,,,,,,,,,,,,,118.6,825,118.9,1,119.0,500,,,,,,,,,,,,,,
2026-06-29T08:00:05.542975+00:00,2026-06-29T18:00:05.537976,3,2,118.5,0.2,118.4,180,118.3,626,118.1,1,,,,,,,,,,,,,,,118.6,825,118.9,1,,,,,,,,,,,,,,,,
2026-06-29T08:00:05.553976+00:00,2026-06-29T18:00:05.549976,4,2,118.5,0.2,118.4,180,118.3,626,118.2,500,118.1,1,,,,,,,,,,,,,118.6,825,118.9,501,,,,,,,,,,,,,,,,
2026-06-29T08:00:05.729975+00:00,2026-06-29T18:00:05.722976,4,2,118.5,0.2,118.4,180,118.3,626,118.2,500,118.1,1,,,,,,,,,,,,,118.6,827,118.9,501,,,,,,,,,,,,,,,,
2026-06-29T08:00:06.136538+00:00,2026-06-29T18:00:06.132538,3,2,118.5,0.2,118.4,180,118.3,626,118.1,1,,,,,,,,,,,,,,,118.6,827,118.9,501,,,,,,,,,,,,,,,,
2026-06-29T08:00:06.147538+00:00,2026-06-29T18:00:06.141538,3,2,118.5,0.2,118.4,180,118.3,626,118.1,1,,,,,,,,,,,,,,,118.6,827,118.9,1,,,,,,,,,,,,,,,,
2026-06-29T08:00:06.158538+00:00,2026-06-29T18:00:06.154538,3,3,118.5,0.2,118.4,180,118.3,626,118.1,501,,,,,,,,,,,,,,,118.6,827,118.8,500,118.9,1,,,,,,,,,,,,,,
2026-06-29T08:00:06.191538+00:00,2026-06-29T18:00:06.187538,2,4,118.4,0.2,118.3,826,118.1,501,,,,,,,,,,,,,,,,,118.5,200,118.6,627,118.8,500,118.9,1,,,,,,,,,,,,
2026-06-29T08:00:06.268538+00:00,2026-06-29T18:00:06.258538,2,3,118.4,0.2,118.3,826,118.1,500,,,,,,,,,,,,,,,,,118.5,200,118.6,627,118.8,500,,,,,,,,,,,,,,
2026-06-29T08:00:06.290538+00:00,2026-06-29T18:00:06.281538,3,3,118.4,0.2,118.3,826,118.1,500,118.0,1,,,,,,,,,,,,,,,118.5,200,118.6,627,118.8,501,,,,,,,,,,,,,,
2026-06-29T08:00:06.345538+00:00,2026-06-29T18:00:06.343538,3,3,118.4,0.2,118.3,826,118.1,500,118.0,1,,,,,,,,,,,,,,,118.5,150,118.6,627,118.8,501,,,,,,,,,,,,,,
2026-06-29T08:00:06.697539+00:00,2026-06-29T18:00:06.696539,3,3,118.4,0.2,118.3,201,118.1,500,118.0,1,,,,,,,,,,,,,,,118.5,150,118.6,627,118.8,501,,,,,,,,,,,,,,
2026-06-29T08:00:06.708539+00:00,2026-06-29T18:00:06.706539,4,2,118.55,0.1,118.5,475,118.3,201,118.1,500,118.0,1,,,,,,,,,,,,,118.6,2,118.8,501,,,,,,,,,,,,,,,,
2026-06-29T08:00:06.719539+00:00,2026-06-29T18:00:06.709539,4,3,118.55,0.1,118.5,475,118.3,201,118.1,500,118.0,1,,,,,,,,,,,,,118.6,2,118.7,625,118.8,501,,,,,,,,,,,,,,
2026-06-29T08:00:06.741538+00:00,2026-06-29T18:00:06.735539,3,3,118.55,0.1,118.5,475,118.3,201,118.0,1,,,,,,,,,,,,,,,118.6,2,118.7,625,118.8,501,,,,,,,,,,,,,,
2026-06-29T08:00:06.752538+00:00,2026-06-29T18:00:06.749538,4,3,118.55,0.1,118.5,475,118.3,201,118.2,500,118.0,1,,,,,,,,,,,,,118.6,2,118.7,625,118.8,1,,,,,,,,,,,,,,
2026-06-29T08:00:06.763539+00:00,2026-06-29T18:00:06.755529,4,4,118.55,0.1,118.5,475,118.3,201,118.2,500,118.0,1,,,,,,,,,,,,,118.6,2,118.7,625,118.8,1,118.9,500,,,,,,,,,,,,
2026-06-29T08:00:07.346538+00:00,2026-06-29T18:00:07.338538,3,4,118.55,0.1,118.5,475,118.3,201,118.0,1,,,,,,,,,,,,,,,118.6,2,118.7,625,118.8,1,118.9,500,,,,,,,,,,,,
2026-06-29T08:00:07.357538+00:00,2026-06-29T18:00:07.351538,4,3,118.55,0.1,118.5,475,118.3,201,118.1,500,118.0,1,,,,,,,,,,,,,118.6,2,118.7,625,118.8,1,,,,,,,,,,,,,,
2026-06-29T08:00:07.368539+00:00,2026-06-29T18:00:07.358538,4,3,118.55,0.1,118.5,475,118.3,201,118.1,500,118.0,1,,,,,,,,,,,,,118.6,2,118.7,625,118.8,501,,,,,,,,,,,,,,
2026-06-29T08:00:07.401529+00:00,2026-06-29T18:00:07.395530,4,3,118.55,0.1,118.5,675,118.3,1,118.1,500,118.0,1,,,,,,,,,,,,,118.6,2,118.7,825,118.8,501,,,,,,,,,,,,,,
2026-06-29T08:00:07.929529+00:00,2026-06-29T18:00:07.926530,4,3,118.55,0.1,118.5,675,118.3,1,118.1,500,118.0,1,,,,,,,,,,,,,118.6,1,118.7,825,118.8,501,,,,,,,,,,,,,,
2026-06-29T08:00:07.951529+00:00,2026-06-29T18:00:07.941529,3,3,118.55,0.1,118.5,675,118.3,1,118.0,1,,,,,,,,,,,,,,,118.6,1,118.7,825,118.8,501,,,,,,,,,,,,,,
2026-06-29T08:00:07.962529+00:00,2026-06-29T18:00:07.955530,4,3,118.55,0.1,118.5,675,118.3,1,118.1,500,118.0,1,,,,,,,,,,,,,118.6,1,118.7,825,118.8,1,,,,,,,,,,,,,,
