timestamp,pnl,pos_asml,pos_dual,fills,takes,lots
1784279918.2444751,649801.8699999994,0,0,0,0,0
1784279919.228099,649801.8699999994,0,0,0,0,0
1784279919.487012,649798.8699999994,0,-30,1,0,30
1784279919.687819,649798.8699999994,0,-30,1,0,30
1784279919.8886073,649804.8699999994,0,-30,1,0,30
1784279920.0894644,649804.8699999994,0,-30,1,0,30
1784279920.4301565,649804.8699999994,0,-50,2,0,50
1784279920.632616,649794.8699999994,0,-50,2,0,50
1784279920.852864,649794.8699999994,0,-50,2,0,50
1784279921.0715365,649794.8699999994,0,-50,2,0,50
1784279921.316588,649794.8699999994,0,-50,2,0,50
1784279921.6058757,649794.8699999994,0,-50,2,0,50
1784279921.8458934,649794.8699999994,0,-50,2,0,50
1784279922.0610769,649808.8699999994,0,-20,3,0,80
1784279922.3100495,649808.8699999994,0,-20,3,0,80
1784279922.5221908,649808.8699999994,0,-20,3,0,80
1784279922.82101,649808.8699999994,0,-20,3,0,80
1784279923.0767515,649806.8699999994,0,-20,3,0,80
1784279923.3983738,649806.8699999994,0,-20,3,0,80
1784279923.6050093,649806.8699999994,0,-20,3,0,80
1784279923.8058002,649806.8699999994,0,-20,3,0,80
1784279924.0219777,649806.8699999994,0,-20,3,0,80
1784279924.2338915,649806.8699999994,0,-2,4,0,98
1784279924.4555833,649806.8699999994,0,-2,4,0,98
1784279924.7046747,649806.6699999995,0,-2,4,0,98
1784279924.934959,649806.6699999995,0,-2,4,0,98
1784279925.2581022,649806.6699999995,0,-2,4,0,98
1784279925.5668757,649806.6699999995,0,-2,4,0,98
1784279925.7837214,649806.6699999995,0,-2,4,0,98
1784279925.998417,649806.6699999995,0,-2,4,0,98
1784279926.2054915,649806.8699999994,0,28,5,0,128
1784279926.4258127,649806.8699999994,0,28,5,0,128
1784279926.6537557,649806.8699999994,0,28,5,0,128
1784279926.8835437,649806.8699999994,0,28,5,0,128
1784279927.09064,649806.8699999994,0,28,5,0,128
1784279927.310853,649806.8699999994,0,28,5,0,128
1784279927.5315566,649806.8699999994,0,28,5,0,128
1784279927.7747788,649806.8699999994,0,28,5,0,128
1784279927.9756258,649806.8699999994,0,28,5,0,128
1784279928.176415,649806.8699999994,0,28,5,0,128
1784279928.4437675,649809.6699999995,0,28,5,0,128
1784279928.6496236,649809.6699999995,0,28,5,0,128
1784279928.873417,649809.6699999995,0,28,5,0,128
1784279929.0742564,649809.6699999995,0,28,5,0,128
1784279929.2750707,649809.6699999995,0,28,5,0,128
1784279929.5115874,649809.6699999995,0,28,5,0,128
1784279929.7447357,649809.6699999995,0,28,5,0,128
1784279929.9602828,649809.6699999995,0,28,5,0,128
1784279930.169233,649809.6699999995,0,10,6,0,146
1784279930.3885548,649809.6699999995,0,10,6,0,146
1784279930.6627507,649809.6699999995,0,10,6,0,146
1784279930.906905,649809.6699999995,0,10,6,0,146
1784279931.1080976,649809.6699999995,0,10,6,0,146
1784279931.3201492,649809.6699999995,0,10,6,0,146
1784279931.5242078,649809.6699999995,0,10,6,0,146
1784279931.747486,649809.6699999995,0,10,6,0,146
