timestamp,price,volume,side
2026-07-13 18:43:31.223593,85.30000000000001,3,ask
2026-07-13 18:43:37.847126,85.30000000000001,11,ask
2026-07-13 18:43:41.812689,85.2,11,bid
2026-07-13 18:43:43.628814,85.2,11,ask
2026-07-13 18:43:44.455706,85.2,10,ask
2026-07-13 18:43:46.864244,84.9,10,bid
2026-07-13 18:43:47.071327,84.9,11,bid
2026-07-13 18:43:49.609054,84.80000000000001,3,bid
2026-07-13 18:43:49.964189,85.30000000000001,14,ask
2026-07-13 18:43:51.160315,85.30000000000001,10,ask
2026-07-13 18:43:52.322385,85.2,10,bid
2026-07-13 18:43:56.257738,85.0,11,bid
2026-07-13 18:43:56.346910,84.9,3,bid
2026-07-13 18:43:59.456340,85.0,3,ask
2026-07-13 18:44:02.881241,84.7,3,bid
2026-07-13 18:44:26.469402,84.7,3,ask
2026-07-13 18:44:34.353229,84.60000000000001,3,bid
2026-07-13 18:45:29.483222,84.9,3,ask
2026-07-13 18:45:31.614555,84.80000000000001,3,bid
2026-07-13 18:45:37.691391,85.0,3,ask
2026-07-13 18:45:40.928022,84.60000000000001,3,bid
2026-07-13 18:45:46.524756,84.80000000000001,3,ask
2026-07-13 18:45:47.844451,84.80000000000001,3,bid
2026-07-13 18:45:59.683987,84.9,3,ask
2026-07-13 18:46:01.894475,84.80000000000001,3,bid
2026-07-13 18:46:19.363981,84.60000000000001,3,ask
2026-07-13 18:46:22.049579,84.4,3,bid
2026-07-13 18:46:31.233033,84.5,13,ask
2026-07-13 18:46:31.233033,84.5,1,ask
2026-07-13 18:46:31.527856,84.2,14,bid
2026-07-13 18:46:35.160148,84.5,3,ask
2026-07-13 18:46:39.095747,84.30000000000001,3,bid
2026-07-13 18:47:57.101118,83.80000000000001,14,bid
2026-07-13 18:47:57.260017,83.9,11,ask
2026-07-13 18:47:59.424709,84.0,3,ask
2026-07-13 18:48:20.319602,84.10000000000001,3,bid
2026-07-13 18:48:29.162917,84.2,3,ask
2026-07-13 18:48:37.415070,84.2,3,ask
2026-07-13 18:48:38.295181,83.9,3,bid
2026-07-13 18:48:42.666752,84.0,3,ask
2026-07-13 18:48:42.973633,84.0,3,bid
2026-07-13 18:49:06.770564,83.60000000000001,3,bid
2026-07-13 18:49:06.806135,83.60000000000001,11,bid
2026-07-13 18:49:13.122665,83.7,11,ask
2026-07-13 18:49:14.586215,83.60000000000001,11,bid
2026-07-13 18:49:15.518948,83.60000000000001,10,bid
2026-07-13 18:49:16.266067,84.0,20,ask
2026-07-13 18:49:16.266067,83.9,1,ask
2026-07-13 18:49:22.093559,83.9,11,bid
2026-07-13 18:49:26.043410,83.9,10,bid
2026-07-13 18:49:28.653967,83.80000000000001,21,ask
2026-07-13 18:49:41.183962,84.2,3,ask
2026-07-13 18:50:31.632246,84.10000000000001,3,ask
2026-07-13 18:50:32.942997,84.10000000000001,3,bid
2026-07-13 18:50:38.579427,84.30000000000001,3,ask
2026-07-13 18:50:42.128800,84.30000000000001,3,bid
2026-07-13 18:50:44.909849,84.30000000000001,3,ask
2026-07-13 18:50:55.265703,84.4,11,ask
2026-07-13 18:50:56.178193,84.4,10,ask
2026-07-13 18:50:56.581922,84.4,11,ask
2026-07-13 18:50:58.872169,84.30000000000001,11,bid
2026-07-13 18:51:10.595617,84.10000000000001,10,bid
2026-07-13 18:51:16.325670,84.0,11,bid
2026-07-13 18:51:23.008437,83.60000000000001,3,bid
2026-07-13 18:51:34.707889,83.60000000000001,12,ask
2026-07-13 18:51:34.707889,83.60000000000001,12,ask
2026-07-13 18:51:35.671267,83.30000000000001,21,bid
2026-07-13 18:51:36.016678,83.30000000000001,3,bid
2026-07-13 18:51:38.801031,83.60000000000001,3,ask
2026-07-13 18:51:39.967061,83.60000000000001,11,ask
2026-07-13 18:51:41.964146,83.4,11,bid
2026-07-13 18:51:42.233360,83.4,3,bid
2026-07-13 18:51:45.081913,83.4,3,ask
2026-07-13 18:51:50.451726,83.30000000000001,3,bid
2026-07-13 18:51:51.416393,83.60000000000001,3,ask
2026-07-13 18:51:54.389865,83.4,3,bid
2026-07-13 18:51:55.735703,83.4,3,ask
2026-07-13 18:51:57.963408,83.4,3,bid
2026-07-13 18:52:33.773195,83.10000000000001,3,ask
2026-07-13 18:52:41.702847,82.80000000000001,3,bid
2026-07-13 18:52:43.018618,82.9,3,ask
2026-07-13 18:52:43.347282,83.0,11,ask
2026-07-13 18:52:45.245675,82.9,11,bid
2026-07-13 18:52:46.952550,82.80000000000001,3,bid
2026-07-13 18:53:05.398486,82.9,3,ask
2026-07-13 18:53:06.699338,83.0,3,bid
2026-07-13 18:53:08.071969,83.0,14,ask
2026-07-13 18:53:20.390360,83.0,11,bid
2026-07-13 18:53:22.498460,83.0,3,bid
2026-07-13 18:53:23.820739,82.9,14,ask
2026-07-13 18:53:25.132340,82.80000000000001,14,bid
2026-07-13 18:53:26.450863,82.9,3,ask
2026-07-13 18:53:27.606254,82.7,3,bid
2026-07-13 18:53:54.034389,82.60000000000001,3,bid
2026-07-13 18:53:55.350759,82.7,3,ask
2026-07-13 18:54:30.916028,83.0,3,ask
2026-07-13 18:54:33.009432,82.80000000000001,3,bid
2026-07-13 18:54:36.153713,83.10000000000001,14,ask
2026-07-13 18:54:38.663584,83.0,11,bid
2026-07-13 18:54:38.778594,83.0,3,bid
2026-07-13 18:55:28.812865,82.80000000000001,7,bid
2026-07-13 18:55:28.963520,82.80000000000001,14,bid
2026-07-13 18:55:29.737128,82.80000000000001,3,bid
2026-07-13 18:55:29.966835,83.0,10,ask
2026-07-13 18:55:29.993634,83.10000000000001,11,ask
2026-07-13 18:55:39.286397,82.9,11,bid
2026-07-13 18:55:42.255858,82.9,11,ask
2026-07-13 18:55:42.699784,82.60000000000001,11,bid
2026-07-13 18:55:42.879987,82.5,10,bid
2026-07-13 18:55:43.251255,82.5,4,bid
2026-07-13 18:55:43.290840,82.5,7,bid
2026-07-13 18:55:44.567335,82.5,20,bid
2026-07-13 18:55:45.932634,82.7,9,ask
2026-07-13 18:55:47.194384,82.7,20,ask
2026-07-13 18:55:47.340464,82.7,2,ask
2026-07-13 18:55:55.110611,82.7,11,bid
2026-07-13 18:55:59.089254,82.7,11,ask
2026-07-13 18:56:00.404797,82.80000000000001,11,bid
2026-07-13 18:56:01.721129,82.80000000000001,11,ask
2026-07-13 18:56:06.542430,82.80000000000001,11,bid
2026-07-13 18:56:14.471965,83.10000000000001,11,ask
2026-07-13 18:56:16.195424,83.0,10,ask
2026-07-13 18:56:16.297910,83.10000000000001,11,ask
2026-07-13 18:56:18.687234,83.0,20,bid
2026-07-13 18:56:20.133565,83.0,1,bid
2026-07-13 18:56:22.769281,83.10000000000001,10,ask
2026-07-13 18:56:24.080155,83.0,11,ask
2026-07-13 18:56:27.069116,83.30000000000001,3,ask
2026-07-13 18:56:32.865182,83.30000000000001,3,bid
2026-07-13 18:56:33.071269,83.2,11,bid
2026-07-13 18:56:33.415771,83.4,11,ask
2026-07-13 18:56:33.916789,83.2,11,bid
2026-07-13 18:56:41.163735,83.2,11,ask
2026-07-13 18:56:53.027390,83.5,3,ask
2026-07-13 18:56:57.451099,83.5,3,bid
2026-07-13 18:57:03.532088,83.5,3,ask
2026-07-13 18:57:14.814796,83.10000000000001,3,bid
2026-07-13 18:57:15.333730,83.10000000000001,17,bid
2026-07-13 18:57:15.641039,83.10000000000001,4,bid
2026-07-13 18:57:24.522475,83.10000000000001,10,ask
2026-07-13 18:57:37.638138,83.10000000000001,11,ask
2026-07-13 18:57:40.267075,83.2,3,ask
2026-07-13 18:57:54.746744,83.0,3,bid
2026-07-13 18:57:55.542649,83.0,11,bid
2026-07-13 18:57:58.695728,82.9,3,ask
2026-07-13 18:57:59.045035,82.7,3,bid
2026-07-13 18:58:10.395888,83.10000000000001,11,ask
2026-07-13 18:58:10.509598,83.10000000000001,3,ask
2026-07-13 18:58:14.436634,83.10000000000001,14,bid
2026-07-13 18:58:15.750087,83.2,11,ask
2026-07-13 18:58:16.135652,83.2,3,ask
2026-07-13 18:58:18.606915,83.0,3,bid
2026-07-13 18:58:20.980163,83.0,11,bid
2026-07-13 18:58:22.290388,82.9,11,ask
2026-07-13 18:58:40.667464,83.10000000000001,3,ask
2026-07-13 18:58:58.498260,83.2,14,bid
2026-07-13 18:58:59.715820,83.30000000000001,11,ask
2026-07-13 18:59:01.694639,83.4,3,ask
2026-07-13 18:59:02.999859,83.30000000000001,3,bid
2026-07-13 18:59:05.491692,83.5,3,ask
2026-07-13 18:59:34.577923,83.2,14,bid
2026-07-13 18:59:37.131266,83.30000000000001,14,ask
2026-07-13 18:59:38.505798,83.4,3,bid
2026-07-13 18:59:59.604840,83.7,3,ask
2026-07-13 19:00:27.204609,84.0,14,bid
2026-07-13 19:00:27.820730,84.4,14,ask
2026-07-13 19:00:28.735657,84.5,3,ask
2026-07-13 19:00:31.035173,84.10000000000001,3,bid
2026-07-13 19:00:37.017537,84.7,3,ask
2026-07-13 19:00:50.865216,84.5,20,ask
2026-07-13 19:00:50.865216,84.5,1,ask
2026-07-13 19:00:53.106374,84.5,10,bid
2026-07-13 19:00:53.626411,84.4,11,bid
2026-07-13 19:01:06.752759,84.10000000000001,3,bid
2026-07-13 19:01:18.435275,84.60000000000001,3,ask
2026-07-13 19:01:18.451841,84.60000000000001,21,ask
2026-07-13 19:01:18.468198,84.7,11,ask
2026-07-13 19:01:18.682243,84.5,11,bid
2026-07-13 19:01:18.763260,84.4,10,bid
2026-07-13 19:01:19.939156,84.30000000000001,11,bid
2026-07-13 19:01:22.385222,84.4,3,bid
2026-07-13 19:02:10.909502,84.30000000000001,3,bid
2026-07-13 19:02:16.013257,84.60000000000001,3,ask
2026-07-13 19:02:16.181738,84.60000000000001,3,ask
2026-07-13 19:02:17.163497,84.4,3,bid
2026-07-13 19:02:23.353334,84.60000000000001,3,ask
2026-07-13 19:02:24.290280,84.5,3,bid
2026-07-13 19:02:39.857050,84.7,3,ask
2026-07-13 19:02:40.887655,84.5,3,bid
2026-07-13 19:03:15.728620,85.2,1,ask
2026-07-13 19:03:18.093550,84.9,2,ask
2026-07-13 19:03:23.316143,84.5,3,bid
2026-07-13 19:03:40.526671,84.30000000000001,3,ask
2026-07-13 19:04:03.488529,84.10000000000001,3,bid
2026-07-13 19:04:13.330602,84.60000000000001,3,ask
2026-07-13 19:04:18.581255,84.60000000000001,3,bid
2026-07-13 19:05:00.199256,85.5,35,ask
2026-07-13 19:05:00.747608,85.30000000000001,11,bid
2026-07-13 19:05:02.099548,85.30000000000001,10,bid
2026-07-13 19:05:02.978360,85.2,10,bid
2026-07-13 19:05:05.681654,85.0,1,bid
2026-07-13 19:05:05.816487,85.0,3,bid
2026-07-13 19:05:10.524034,85.10000000000001,3,ask
2026-07-13 19:05:11.068327,85.2,3,bid
2026-07-13 19:05:12.380475,85.2,3,ask
2026-07-13 19:05:16.311753,85.2,3,bid
2026-07-13 19:05:19.207936,85.80000000000001,35,ask
2026-07-13 19:05:19.457940,85.60000000000001,11,bid
2026-07-13 19:05:19.560399,85.5,10,bid
2026-07-13 19:05:19.803854,85.4,11,bid
2026-07-13 19:05:22.873508,85.30000000000001,3,bid
2026-07-13 19:05:23.844463,85.30000000000001,3,ask
2026-07-13 19:05:25.591021,84.80000000000001,3,bid
2026-07-13 19:05:27.628987,84.7,3,bid
2026-07-13 19:05:28.060102,85.10000000000001,3,ask
2026-07-13 19:05:36.014801,85.30000000000001,3,ask
2026-07-13 19:05:37.366633,85.30000000000001,3,bid
2026-07-13 19:05:42.070701,85.2,3,ask
2026-07-13 19:05:43.918552,85.10000000000001,3,bid
2026-07-13 19:05:45.253647,85.10000000000001,3,ask
2026-07-13 19:05:45.835265,84.9,3,bid
2026-07-13 19:05:49.990393,85.10000000000001,3,ask
2026-07-13 19:05:50.640782,84.80000000000001,3,bid
2026-07-13 19:05:56.275245,84.80000000000001,3,ask
2026-07-13 19:05:56.727285,84.60000000000001,3,bid
2026-07-13 19:06:13.495345,84.30000000000001,1,bid
2026-07-13 19:06:14.715994,84.4,2,bid
2026-07-13 19:06:16.057450,84.5,3,ask
2026-07-13 19:06:17.949093,84.7,3,ask
2026-07-13 19:06:19.389880,84.10000000000001,17,bid
2026-07-13 19:06:20.019099,84.4,14,ask
2026-07-13 19:06:23.282156,84.5,3,ask
2026-07-13 19:06:27.268183,84.5,3,bid
2026-07-13 19:06:35.571577,84.80000000000001,3,ask
2026-07-13 19:06:37.810992,84.80000000000001,11,ask
2026-07-13 19:06:41.775065,84.7,11,bid
2026-07-13 19:06:44.389874,84.9,3,bid
2026-07-13 19:06:44.615062,85.10000000000001,3,ask
2026-07-13 19:06:44.652696,85.4,32,ask
2026-07-13 19:06:46.026019,85.2,11,bid
2026-07-13 19:06:48.111910,85.0,10,bid
2026-07-13 19:06:54.538748,84.7,11,bid
2026-07-13 19:06:56.249375,84.80000000000001,3,bid
2026-07-13 19:07:05.413952,84.60000000000001,3,ask
2026-07-13 19:07:21.168175,84.5,20,ask
2026-07-13 19:07:22.483525,84.5,9,bid
2026-07-13 19:07:26.481838,84.30000000000001,11,bid
2026-07-13 19:07:33.828785,84.4,3,bid
2026-07-13 19:07:43.552438,84.4,14,ask
2026-07-13 19:07:44.746956,84.2,11,bid
2026-07-13 19:07:44.834326,83.80000000000001,6,bid
2026-07-13 19:07:46.475233,84.2,3,ask
2026-07-13 19:08:09.911167,84.2,3,ask
2026-07-13 19:08:20.530400,84.2,11,ask
2026-07-13 19:08:26.500090,84.2,2,bid
2026-07-13 19:08:26.935565,84.4,2,ask
2026-07-13 19:08:26.951205,84.4,10,ask
2026-07-13 19:08:27.375597,84.2,9,bid
2026-07-13 19:08:27.584728,84.4,9,ask
2026-07-13 19:08:30.262479,83.9,10,bid
2026-07-13 19:08:32.256980,83.80000000000001,1,bid
2026-07-13 19:08:35.364685,84.10000000000001,1,ask
2026-07-13 19:08:36.003929,83.9,11,bid
2026-07-13 19:08:38.849066,84.0,5,ask
2026-07-13 19:08:38.849066,84.0,16,ask
2026-07-13 19:08:39.538392,83.80000000000001,1,bid
2026-07-13 19:08:39.538392,83.80000000000001,9,bid
2026-07-13 19:08:40.827361,83.80000000000001,11,bid
2026-07-13 19:08:45.571202,83.60000000000001,2,bid
2026-07-13 19:08:47.271146,84.0,2,ask
2026-07-13 19:08:55.031766,83.80000000000001,3,bid
2026-07-13 19:09:52.469577,83.30000000000001,3,bid
2026-07-13 19:09:57.524889,83.4,3,ask
2026-07-13 19:11:07.471197,83.30000000000001,1,bid
2026-07-13 19:11:14.966301,83.5,1,ask
2026-07-13 19:11:16.587366,83.60000000000001,14,ask
2026-07-13 19:11:16.999403,83.2,14,bid
2026-07-13 19:11:20.153428,83.4,3,ask
2026-07-13 19:11:23.572412,83.4,3,bid
2026-07-13 19:11:29.562183,83.60000000000001,3,ask
2026-07-13 19:11:30.840899,83.5,3,bid
2026-07-13 19:11:32.771190,83.9,14,ask
2026-07-13 19:11:35.876517,84.0,10,ask
2026-07-13 19:11:35.979721,83.80000000000001,10,bid
2026-07-13 19:11:39.332729,84.0,10,ask
2026-07-13 19:11:42.840117,83.80000000000001,10,bid
2026-07-13 19:11:45.484260,83.7,11,bid
2026-07-13 19:12:01.303968,83.80000000000001,3,bid
2026-07-13 19:12:11.773854,83.60000000000001,3,bid
2026-07-13 19:12:18.312870,83.7,3,ask
2026-07-13 19:12:42.015658,84.2,3,ask
2026-07-13 19:12:45.947854,84.2,3,bid
2026-07-13 19:12:47.257825,84.10000000000001,3,ask
2026-07-13 19:12:48.871394,83.9,3,bid
2026-07-13 19:12:55.170710,84.30000000000001,3,ask
2026-07-13 19:12:57.782788,84.30000000000001,11,ask
