timestamp,pnl,cash,posA,posB
1782927031.1686451,3248.301999999974,3248.601999999974,-3,3
1782927036.2039504,3246.8019999999733,3248.601999999974,-3,3
1782927041.2240345,3248.9019999999737,3248.601999999974,-3,3
1782927046.23819,3248.601999999974,3248.601999999974,0,0
1782927051.243017,3248.601999999974,3248.601999999974,0,0
1782927056.2520502,3248.601999999974,3248.601999999974,0,0
1782927061.2603886,3248.601999999974,3248.601999999974,0,0
1782927066.2652104,3248.601999999974,3248.601999999974,0,0
1782927071.2680087,3259.0019999999745,3261.601999999974,26,-26
1782927076.2751656,3252.601999999974,3253.501999999974,3,-3
1782927081.2834647,3252.901999999974,3253.501999999974,2,-2
1782927086.2862954,3253.201999999974,3253.201999999974,0,0
1782927091.289064,3252.6019999999735,3254.1019999999735,3,-3
1782927096.2935884,3248.701999999974,3258.5019999999736,14,-14
1782927101.2941124,3255.7019999999743,3258.5019999999736,14,-14
1782927106.2946632,3241.1019999999726,3264.501999999973,26,-26
1782927111.2991214,3259.8019999999733,3265.2019999999734,27,-27
1782927116.3016338,3254.401999999974,3265.2019999999734,27,-27
1782927121.3021653,3254.4019999999737,3264.8019999999733,26,-26
1782927126.308751,3262.201999999974,3264.8019999999733,26,-26
1782927131.3114078,3257.2019999999734,3257.2019999999734,0,0
1782927136.314293,3256.901999999973,3258.1019999999735,3,-3
1782927141.3147342,3263.001999999974,3263.001999999974,15,-15
1782927146.3151076,3258.501999999974,3259.4019999999737,3,-3
1782927151.3155794,3258.2019999999734,3259.4019999999737,3,-3
1782927156.3180633,3258.201999999973,3263.8019999999733,14,-14
1782927161.3184772,3259.6019999999735,3263.8019999999733,14,-14
1782927166.3188946,3251.6019999999735,3269.8019999999733,26,-26
1782927171.319319,3256.501999999973,3285.9019999999737,49,-49
1782927176.3197227,3222.701999999974,3294.701999999974,60,-60
1782927181.3203123,3258.701999999974,3280.9019999999737,37,-37
1782927186.3230877,3266.1019999999735,3280.9019999999737,37,-37
1782927191.3236396,3263.3019999999733,3271.701999999973,14,-14
1782927196.3241096,3266.101999999973,3271.701999999973,14,-14
1782927201.3246312,3267.801999999973,3267.801999999973,0,0
1782927206.3250272,3267.801999999973,3267.801999999973,0,0
1782927211.3253946,3267.801999999973,3267.801999999973,0,0
1782927216.325822,3268.1019999999726,3268.1019999999726,0,0
1782927221.3263042,3266.401999999972,3279.401999999972,26,-26
1782927226.330933,3268.101999999972,3281.101999999972,26,-26
1782927231.3314867,3272.9019999999723,3287.701999999972,37,-37
1782927236.3319793,3275.701999999973,3275.701999999973,0,0
1782927241.3325639,3275.701999999973,3276.6019999999726,3,-3
1782927246.3329334,3276.0019999999727,3276.0019999999727,0,0
1782927251.333383,3276.0019999999727,3276.0019999999727,0,0
1782927256.333995,3276.0019999999727,3276.0019999999727,0,0
1782927261.3344724,3277.701999999974,3277.701999999974,0,0
1782927266.3350313,3277.4019999999746,3280.2019999999748,-14,14
1782927271.3354483,3279.1019999999744,3279.1019999999744,0,0
1782927276.3357987,3279.1019999999744,3279.1019999999744,0,0
1782927281.3365529,3279.1019999999744,3279.1019999999744,0,0
1782927286.3372824,3276.301999999974,3621.901999999974,0,-4
1782927291.3588889,3275.901999999974,3275.901999999974,0,0
1782927296.3613915,3275.901999999974,3275.901999999974,0,0
1782927301.361834,3275.901999999974,3275.901999999974,0,0
1782927306.3646188,3275.901999999974,3275.901999999974,0,0
1782927311.3650706,3275.901999999974,3275.901999999974,0,0
1782927316.365754,3275.901999999974,3275.901999999974,0,0
1782927321.3663085,3276.2019999999743,3276.201999999974,-3,3
1782927326.3668303,3276.201999999974,3276.201999999974,0,0
1782927331.367413,3276.201999999974,1027.2019999999739,0,26
1782927336.3703141,3268.401999999974,1027.2019999999739,0,26
1782927341.3706982,3267.0019999999736,3274.801999999974,-26,26
1782927346.3715093,3231.001999999975,3293.7019999999748,-57,57
1782927351.371876,3253.501999999975,3295.501999999976,-60,60
1782927356.3722327,3283.5019999999768,3295.501999999976,-60,60
1782927361.3727386,3270.4019999999755,3285.2019999999748,-37,37
1782927366.3756218,3268.9019999999746,3293.4019999999746,-49,49
1782927371.3760328,3264.001999999974,3293.4019999999746,-49,49
1782927376.3765974,3270.001999999975,3300.001999999975,-60,60
1782927381.376959,3282.001999999974,3300.001999999975,-60,60
1782927386.3773825,3282.001999999975,3300.001999999975,-60,60
1782927391.377845,3276.001999999975,3300.001999999975,-60,60
1782927396.3785024,3286.0019999999754,3289.7019999999748,-37,37
