timestamp,buy_venue,sell_venue,gap,units,reducing
1786136809.0931444,OB5X_202703_F,BASKET,0.2259,1,0
1786136816.1379514,OB5X_ETF,OB5X_202706_F,0.2641,48,0
1786136830.1666503,BASKET,OB5X_202612_F,0.142,1,1
1786136888.3395107,OB5X_202706_F,OB5X_ETF,0.0282,48,1
1786136888.539399,FLATTEN,OB5X_202706_F,-53.27,53,0
1786136895.4407618,OB5X_ETF,OB5X_202706_F,0.1767,48,0
1786137059.3852344,OB5X_202706_F,OB5X_ETF,0.2513,48,1
1786137065.354646,OB5X_ETF,OB5X_202703_F,0.007,48,1
1786137068.210992,OB5X_202703_F,BASKET,0.4304,15,0
1786137071.9311733,OB5X_202706_F,OB5X_ETF,0.0609,48,1
1786137072.8518376,OB5X_ETF,OB5X_202706_F,0.3469,48,1
1786137078.7302852,BASKET,OB5X_ETF,0.1981,16,1
1786137078.9794853,OB5X_202706_F,OB5X_ETF,0.2514,32,1
1786137079.1737797,OB5X_ETF,OB5X_202612_F,0.2296,16,1
1786137079.5358438,FLATTEN,OB5X_202612_F,13.44,13,0
1786137085.5066772,OB5X_ETF,OB5X_202703_F,0.2067,32,1
1786137101.0358963,OB5X_202612_F,BASKET,0.3297,7,0
1786137101.3613186,OB5X_202612_F,OB5X_ETF,0.7722,48,1
1786137106.3089914,BASKET,OB5X_202706_F,0.223,7,1
1786137116.4156873,OB5X_ETF,OB5X_202612_F,0.0255,48,1
1786137123.56388,OB5X_202703_F,OB5X_ETF,0.095,48,1
1786137126.1558366,OB5X_ETF,BASKET,0.1473,7,0
1786137126.55982,BASKET,OB5X_202703_F,0.0536,7,1
1786137129.0023448,OB5X_ETF,OB5X_202703_F,0.2959,41,1
1786137153.6029797,OB5X_202703_F,BASKET,0.1959,7,0
1786137153.6568842,OB5X_202612_F,BASKET,0.1735,1,0
1786137158.4432862,OB5X_202703_F,OB5X_ETF,0.2013,48,1
1786137163.0129712,BASKET,OB5X_202706_F,1.0979,8,1
1786137163.0749109,OB5X_ETF,OB5X_202706_F,1.0145,42,1
1786137166.5013046,OB5X_202706_F,OB5X_ETF,0.3538,42,1
1786137166.532356,OB5X_202706_F,BASKET,0.2944,7,0
1786137166.726241,OB5X_202703_F,BASKET,0.7885,1,0
1786137174.3305767,OB5X_ETF,OB5X_202703_F,0.6072,48,1
1786137186.4490747,BASKET,OB5X_202706_F,0.2636,8,1
1786137193.0181606,BASKET,OB5X_202706_F,0.2033,8,1
1786137209.0518718,OB5X_202703_F,OB5X_ETF,0.3864,48,1
1786137270.6793764,OB5X_ETF,BASKET,0.1146,15,0
1786137278.9123938,OB5X_ETF,OB5X_202703_F,0.1011,33,1
