captured_at,time,ticker,price,volume,buyer,seller,aggressor
2026-07-12T08:02:32.022892+00:00,18:02:01,OB5X_202612_100C,91.8,41,ScholarlySpearmints,TactfulTangerines,buy
2026-07-12T08:02:32.022892+00:00,18:02:01,ASML_202612_100C,35.9,9,GenerousGeckos,EssentialEagles,sell
2026-07-12T08:02:32.022892+00:00,18:02:01,ASML_202612_100C,35.9,36,FortunateFerrets,EssentialEagles,sell
2026-07-12T08:02:32.022892+00:00,18:02:01,ASML,60.8,10,Freddie Hurd-Wood,YieldingYams,buy
2026-07-12T08:02:32.022892+00:00,18:02:02,ASML_202612_100P,73.9,44,GenerousGeckos,EssentialEagles,sell
2026-07-12T08:02:32.022892+00:00,18:02:02,TSLA,13.1,200,YieldingYams,WavyWalnuts,sell
2026-07-12T08:02:32.022892+00:00,18:02:02,ASML_DUAL,60.9,10,CostlyCorianders,Freddie Hurd-Wood,buy
2026-07-12T08:02:32.022892+00:00,18:02:02,ASML_DUAL,61.0,20,CostlyCorianders,Ethan Gu,buy
2026-07-12T08:02:32.022892+00:00,18:02:02,ASML_DUAL,61.0,10,CostlyCorianders,Benjamin Lu,buy
2026-07-12T08:02:32.022892+00:00,18:02:02,ASML_DUAL,61.0,4,CostlyCorianders,Stanley Cai,buy
2026-07-12T08:02:32.022892+00:00,18:02:02,ASML,60.8,20,Ethan Gu,YieldingYams,buy
2026-07-12T08:02:32.022892+00:00,18:02:02,SAP_DUAL,53.9,53,HomelyHerrings,GroovyGrapefruits,sell
2026-07-12T08:02:32.022892+00:00,18:02:02,TSLA,13.1,500,AverageAlmonds,YieldingYams,buy
2026-07-12T08:02:32.022892+00:00,18:02:02,OB5X_ETF,40.7,500,MarvelousMilkshakes,NecessaryNutmegs,sell
2026-07-12T08:02:32.022892+00:00,18:02:02,ASML,60.8,5,Stanley Cai,YieldingYams,buy
2026-07-12T08:02:32.022892+00:00,18:02:02,AAPL,148.5,200,WavyWalnuts,YieldingYams,buy
2026-07-12T08:02:32.022892+00:00,18:02:02,ASML_202612_050P,31.6,50,GenerousGeckos,EssentialEagles,sell
2026-07-12T08:02:32.022892+00:00,18:02:02,ASML_202612_050P,31.6,4,FortunateFerrets,EssentialEagles,sell
2026-07-12T08:02:32.022892+00:00,18:02:03,ASML,60.7,10,Freddie Hurd-Wood,WavyWalnuts,buy
2026-07-12T08:02:32.022892+00:00,18:02:03,ASML,60.7,190,YieldingYams,WavyWalnuts,buy
2026-07-12T08:02:32.022892+00:00,18:02:03,ASML_DUAL,60.8,10,FlawlessFlatbreads,Benjamin Lu,buy
2026-07-12T08:02:32.022892+00:00,18:02:03,ASML_DUAL,60.8,10,FlawlessFlatbreads,Freddie Hurd-Wood,buy
2026-07-12T08:02:32.022892+00:00,18:02:03,ASML_DUAL,61.0,2,FlawlessFlatbreads,Stanley Cai,buy
2026-07-12T08:02:32.022892+00:00,18:02:03,ASML_DUAL,61.0,28,FlawlessFlatbreads,EarnestEspressos,buy
2026-07-12T08:02:32.022892+00:00,18:02:03,NVDA,42.1,500,AverageAlmonds,YieldingYams,sell
2026-07-12T08:02:32.022892+00:00,18:02:03,TSLA,13.1,125,AverageAlmonds,YieldingYams,buy
2026-07-12T08:02:32.022892+00:00,18:02:03,NVDA,42.1,125,AverageAlmonds,YieldingYams,buy
