recv_time,book_timestamp,n_bids,n_asks,mid,spread,bid_px_0,bid_vol_0,bid_px_1,bid_vol_1,bid_px_2,bid_vol_2,bid_px_3,bid_vol_3,bid_px_4,bid_vol_4,bid_px_5,bid_vol_5,bid_px_6,bid_vol_6,bid_px_7,bid_vol_7,bid_px_8,bid_vol_8,bid_px_9,bid_vol_9,ask_px_0,ask_vol_0,ask_px_1,ask_vol_1,ask_px_2,ask_vol_2,ask_px_3,ask_vol_3,ask_px_4,ask_vol_4,ask_px_5,ask_vol_5,ask_px_6,ask_vol_6,ask_px_7,ask_vol_7,ask_px_8,ask_vol_8,ask_px_9,ask_vol_9
2026-07-01T11:00:00.309911+00:00,2026-07-01T21:00:00.308911,3,2,87.25,0.1,87.2,3,87.0,63,86.8,150,,,,,,,,,,,,,,,87.3,18,87.5,103,,,,,,,,,,,,,,,,
2026-07-01T11:00:00.320910+00:00,2026-07-01T21:00:00.311911,3,2,87.25,0.1,87.2,13,87.0,63,86.8,150,,,,,,,,,,,,,,,87.3,18,87.5,103,,,,,,,,,,,,,,,,
2026-07-01T11:00:00.518255+00:00,2026-07-01T21:00:00.508254,3,2,87.25,0.1,87.2,13,87.0,63,86.8,150,,,,,,,,,,,,,,,87.3,18,87.5,102,,,,,,,,,,,,,,,,
2026-07-01T11:00:00.704638+00:00,2026-07-01T21:00:00.701728,2,2,87.15,0.3,87.0,26,86.8,150,,,,,,,,,,,,,,,,,87.3,18,87.5,102,,,,,,,,,,,,,,,,
2026-07-01T11:00:01.065139+00:00,2026-07-01T21:00:01.061139,2,2,87.15,0.3,87.0,26,86.8,150,,,,,,,,,,,,,,,,,87.3,18,87.5,101,,,,,,,,,,,,,,,,
2026-07-01T11:00:01.142139+00:00,2026-07-01T21:00:01.137139,1,1,87.25,0.5,87.0,26,,,,,,,,,,,,,,,,,,,87.5,101,,,,,,,,,,,,,,,,,,
2026-07-01T11:00:01.196233+00:00,2026-07-01T21:00:01.190233,2,1,87.4,0.2,87.3,150,87.0,26,,,,,,,,,,,,,,,,,87.5,101,,,,,,,,,,,,,,,,,,
2026-07-01T11:00:01.251234+00:00,2026-07-01T21:00:01.243234,2,2,87.4,0.2,87.3,150,87.0,26,,,,,,,,,,,,,,,,,87.5,101,87.8,150,,,,,,,,,,,,,,,,
2026-07-01T11:00:01.459717+00:00,2026-07-01T21:00:01.455719,1,2,87.4,0.2,87.3,150,,,,,,,,,,,,,,,,,,,87.5,1,87.8,150,,,,,,,,,,,,,,,,
2026-07-01T11:00:01.514719+00:00,2026-07-01T21:00:01.508729,2,2,87.4,0.2,87.3,150,86.8,100,,,,,,,,,,,,,,,,,87.5,1,87.8,150,,,,,,,,,,,,,,,,
2026-07-01T11:00:01.569719+00:00,2026-07-01T21:00:01.562718,2,2,87.4,0.2,87.3,50,86.8,100,,,,,,,,,,,,,,,,,87.5,1,87.8,150,,,,,,,,,,,,,,,,
2026-07-01T11:00:01.832237+00:00,2026-07-01T21:00:01.826236,2,2,87.4,0.2,87.3,50,86.8,100,,,,,,,,,,,,,,,,,87.5,11,87.8,150,,,,,,,,,,,,,,,,
2026-07-01T11:00:02.084073+00:00,2026-07-01T21:00:02.074074,2,2,87.4,0.2,87.3,50,86.8,100,,,,,,,,,,,,,,,,,87.5,10,87.8,150,,,,,,,,,,,,,,,,
2026-07-01T11:00:02.333840+00:00,2026-07-01T21:00:02.330839,2,1,87.55,0.5,87.3,50,86.8,100,,,,,,,,,,,,,,,,,87.8,150,,,,,,,,,,,,,,,,,,
2026-07-01T11:00:02.344722+00:00,2026-07-01T21:00:02.338839,2,2,87.5,0.4,87.3,50,86.8,100,,,,,,,,,,,,,,,,,87.7,10,87.8,150,,,,,,,,,,,,,,,,
2026-07-01T11:00:03.107546+00:00,2026-07-01T21:00:03.100546,1,1,87.3,1.0,86.8,100,,,,,,,,,,,,,,,,,,,87.8,150,,,,,,,,,,,,,,,,,,
2026-07-01T11:00:04.297599+00:00,2026-07-01T21:00:04.296598,1,0,,,86.8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01T11:00:04.319598+00:00,2026-07-01T21:00:04.318598,1,0,,,86.8,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01T11:00:04.363610+00:00,2026-07-01T21:00:04.353613,2,0,,,86.8,51,86.7,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01T11:00:04.407725+00:00,2026-07-01T21:00:04.406726,2,1,87.0,0.4,86.8,51,86.7,150,,,,,,,,,,,,,,,,,87.2,150,,,,,,,,,,,,,,,,,,
2026-07-01T11:00:04.626014+00:00,2026-07-01T21:00:04.615725,1,1,86.95,0.5,86.7,150,,,,,,,,,,,,,,,,,,,87.2,150,,,,,,,,,,,,,,,,,,
2026-07-01T11:00:04.681013+00:00,2026-07-01T21:00:04.671014,2,1,87.05,0.3,86.9,100,86.7,150,,,,,,,,,,,,,,,,,87.2,150,,,,,,,,,,,,,,,,,,
2026-07-01T11:00:04.724376+00:00,2026-07-01T21:00:04.722581,2,2,87.05,0.3,86.9,100,86.7,150,,,,,,,,,,,,,,,,,87.2,150,87.4,100,,,,,,,,,,,,,,,,
2026-07-01T11:00:04.856726+00:00,2026-07-01T21:00:04.851726,2,2,87.05,0.3,86.9,110,86.7,150,,,,,,,,,,,,,,,,,87.2,150,87.4,100,,,,,,,,,,,,,,,,
2026-07-01T11:00:04.922242+00:00,2026-07-01T21:00:04.919243,2,2,87.05,0.3,86.9,60,86.7,150,,,,,,,,,,,,,,,,,87.2,150,87.4,100,,,,,,,,,,,,,,,,
2026-07-01T11:00:05.337728+00:00,2026-07-01T21:00:05.329728,2,2,87.05,0.3,86.9,60,86.7,150,,,,,,,,,,,,,,,,,87.2,103,87.4,100,,,,,,,,,,,,,,,,
2026-07-01T11:00:05.370728+00:00,2026-07-01T21:00:05.365728,2,2,87.05,0.3,86.9,60,86.7,150,,,,,,,,,,,,,,,,,87.2,103,87.4,100,,,,,,,,,,,,,,,,
2026-07-01T11:00:05.873010+00:00,2026-07-01T21:00:05.870009,2,2,87.05,0.3,86.9,50,86.7,150,,,,,,,,,,,,,,,,,87.2,103,87.4,100,,,,,,,,,,,,,,,,
2026-07-01T11:00:05.884361+00:00,2026-07-01T21:00:05.873010,2,2,87.05,0.3,86.9,60,86.7,150,,,,,,,,,,,,,,,,,87.2,103,87.4,100,,,,,,,,,,,,,,,,
2026-07-01T11:00:05.927729+00:00,2026-07-01T21:00:05.919729,2,2,87.05,0.3,86.9,12,86.7,150,,,,,,,,,,,,,,,,,87.2,103,87.4,100,,,,,,,,,,,,,,,,
2026-07-01T11:00:06.385731+00:00,2026-07-01T21:00:06.383731,2,2,87.05,0.3,86.9,2,86.7,150,,,,,,,,,,,,,,,,,87.2,103,87.4,100,,,,,,,,,,,,,,,,
2026-07-01T11:00:06.396731+00:00,2026-07-01T21:00:06.389731,2,2,87.05,0.3,86.9,12,86.7,150,,,,,,,,,,,,,,,,,87.2,103,87.4,100,,,,,,,,,,,,,,,,
2026-07-01T11:00:06.681220+00:00,2026-07-01T21:00:06.678221,2,1,87.15,0.5,86.9,12,86.7,150,,,,,,,,,,,,,,,,,87.4,100,,,,,,,,,,,,,,,,,,
2026-07-01T11:00:06.900720+00:00,2026-07-01T21:00:06.897721,3,1,87.2,0.4,87.0,10,86.9,2,86.7,150,,,,,,,,,,,,,,,87.4,100,,,,,,,,,,,,,,,,,,
2026-07-01T11:00:07.042669+00:00,2026-07-01T21:00:07.033674,1,1,87.05,0.7,86.7,112,,,,,,,,,,,,,,,,,,,87.4,100,,,,,,,,,,,,,,,,,,
2026-07-01T11:00:07.415115+00:00,2026-07-01T21:00:07.404116,2,1,87.1,0.6,86.8,10,86.7,112,,,,,,,,,,,,,,,,,87.4,100,,,,,,,,,,,,,,,,,,
2026-07-01T11:00:07.469723+00:00,2026-07-01T21:00:07.462723,1,1,87.1,0.6,86.8,10,,,,,,,,,,,,,,,,,,,87.4,100,,,,,,,,,,,,,,,,,,
